Codigo,SubElemento,Pago,RP_Pago
0181,31900101,"R$ 41.300.000,00","R$ 839.854,99"
0181,31900101,"R$ 6.300.000,00","R$ 0,00"
0181,31900101,"R$ 0,00","R$ 260.080,00"
0181,31900101,"R$ 0,00","R$ 3.000.000,00"
0181,31900101,"R$ 18.407.969,17","R$ 1.669.859,20"
0181,31900106,"R$ 1.881.631,78","R$ 0,00"
0181,31900106,"R$ 5.186.265,86","R$ 6.319,98"
0181,31900109,"R$ 8.885.141,92","R$ 789.915,82"
0181,31900116,"R$ 1.071.838,46","R$ 93.243,86"
0181,31900134,"R$ 759.524,75","R$ 68.374,93"
0181,31900187,"R$ 213.042,90","R$ 19.083,11"
0181,31900301,"R$ 0,00","R$ 1.218.719,58"
0181,31900301,"R$ 13.653.452,74","R$ 0,00"
0181,31900303,"R$ 0,00","R$ 4.191,62"
0181,31900303,"R$ 1.268.989,81","R$ 0,00"
0181,31900306,"R$ 24.376,44","R$ 0,00"
0181,31900386,"R$ 0,00","R$ 9.581,94"
0181,31900386,"R$ 114.677,08","R$ 0,00"
20TP,31900401,"R$ 3.741.418,28","R$ 398.959,84"
20TP,31900412,"R$ 118.362,28","R$ 0,00"
20TP,31900413,"R$ 357.867,23","R$ 0,00"
20TP,31900414,"R$ 67.617,18","R$ 0,00"
20TP,31900417,"R$ 18.951,43","R$ 0,00"
20TP,31900706,"R$ 579.227,33","R$ 43.995,40"
20TP,31901101,"R$ 91.136.741,50","R$ 2.046.417,53"
20TP,31901104,"R$ 21.827,28","R$ 3.241,76"
20TP,31901105,"R$ 224.739,59","R$ 23.503,48"
20TP,31901106,"R$ 186.319,68","R$ 20.921,98"
20TP,31901107,"R$ 3.005.903,25","R$ 275.916,39"
20TP,31901109,"R$ 0,00","R$ 1.348,43"
20TP,31901110,"R$ 5.183,77","R$ 157.690,94"
20TP,31901131,"R$ 68.103.712,97","R$ 6.203.120,50"
20TP,31901133,"R$ 1.297.011,09","R$ 114.317,54"
20TP,31901136,"R$ 3.345.039,87","R$ 320.197,29"
20TP,31901137,"R$ 2.821.710,30","R$ 267.487,45"
20TP,31901142,"R$ 414.238,83","R$ 1.861,25"
20TP,31901143,"R$ 13.552.593,69","R$ 1.749.689,23"
20TP,31901145,"R$ 3.408.583,98","R$ 3.024.080,50"
20TP,31901146,"R$ 155.843,36","R$ 280.599,87"
20TP,31901632,"R$ 302.573,54","R$ 12.091,73"
20TP,31901636,"R$ 799.397,89","R$ 45.043,68"
20TP,31901644,"R$ 17.812,20","R$ 0,00"
0005,31909101,"R$ 480.750,01","R$ 0,00"
20TP,31909114,"R$ 1.471.576,12","R$ 11.876,11"
0181,31909115,"R$ 12.086,27","R$ 3.670,49"
0181,31909116,"R$ 0,00","R$ 10.676,30"
0181,31909116,"R$ 117.439,30","R$ 0,00"
0005,31909197,"R$ 0,00","R$ 0,00"
0181,31909201,"R$ 1.487,60","R$ 0,00"
0181,31909201,"R$ 362.401,65","R$ 0,00"
0181,31909203,"R$ 162.210,58","R$ 0,00"
20TP,31909204,"R$ 9.002,69","R$ 0,00"
20TP,31909211,"R$ 3.215.617,24","R$ 25.936,87"
20TP,31909213,"R$ 0,00","R$ 0,00"
20TP,31909291,"R$ 12.747,05","R$ 0,00"
20TP,31909296,"R$ 13.964,44","R$ 0,00"
20TP,31909296,"R$ 0,00","R$ 0,00"
20TP,31909601,"R$ 0,00","R$ 0,00"
20TP,31909602,"R$ 74.956,25","R$ 20.705,88"
20TP,31911302,"R$ 1.058.780,95","R$ 0,00"
09HB,31911303,"R$ 39.253.304,68","R$ 0,00"
09HB,31919213,"R$ 0,00","R$ 0,00"
09HB,31919213,"R$ 28.117,48","R$ 0,00"
20TP,31919213,"R$ 4.067,24","R$ 0,00"
0005,33909102,"R$ 1.069.493,36","R$ 0,00"
