Codigo,SubElemento,Pago,RP_Pago
20RK,33903007,"R$ 0,00","R$ 21.404,22"
20RK,33903007,"R$ 0,00","R$ 0,00"
20RK,33903007,"R$ 57.749,99","R$ 0,00"
8282,33903011,"R$ 0,00","R$ 0,00"
20GK,33903011,"R$ 0,00","R$ 0,00"
20RK,33903011,"R$ 0,00","R$ 2.202,00"
20RK,33903011,"R$ 8.188,35","R$ 0,00"
8282,33903013,"R$ 77,78","R$ 0,00"
20RK,33903014,"R$ 0,00","R$ 0,00"
20RK,33903015,"R$ 0,00","R$ 0,00"
8282,33903016,"R$ 2.382,89","R$ 0,00"
20GK,33903016,"R$ 0,00","R$ 0,00"
20RK,33903016,"R$ 0,00","R$ 0,00"
20RK,33903016,"R$ 998,00","R$ 0,00"
20RK,33903016,"R$ 203.483,67","R$ 0,00"
20GK,33903017,"R$ 0,00","R$ 0,00"
20RK,33903017,"R$ 12.455,00","R$ 0,00"
20RK,33903017,"R$ 0,00","R$ 6.634,90"
20RK,33903017,"R$ 0,00","R$ 1.714,00"
20RK,33903017,"R$ 7.237,66","R$ 0,00"
20RK,33903019,"R$ 0,00","R$ 0,00"
20RK,33903019,"R$ 0,00","R$ 1.636,00"
20RK,33903019,"R$ 3.657,62","R$ 0,00"
20RK,33903020,"R$ 1.703,96","R$ 0,00"
20RK,33903021,"R$ 5.924,80","R$ 0,00"
20GK,33903022,"R$ 0,00","R$ 0,00"
20RK,33903022,"R$ 0,00","R$ 0,00"
20RK,33903022,"R$ 65.976,53","R$ 0,00"
8282,33903023,"R$ 0,00","R$ 0,00"
20RK,33903023,"R$ 0,00","R$ 0,00"
20RK,33903023,"R$ 0,00","R$ 11.672,00"
20RK,33903023,"R$ 9.766,64","R$ 0,00"
4002,33903024,"R$ 0,00","R$ 0,00"
8282,33903024,"R$ 2.307,50","R$ 0,00"
20GK,33903024,"R$ 0,00","R$ 0,00"
20RK,33903024,"R$ 0,00","R$ 0,00"
20RK,33903024,"R$ 600,00","R$ 0,00"
20RK,33903024,"R$ 0,00","R$ 6.189,00"
20RK,33903024,"R$ 354.446,40","R$ 0,00"
8282,33903025,"R$ 300,00","R$ 0,00"
20RK,33903025,"R$ 174,96","R$ 0,00"
8282,33903026,"R$ 12.761,46","R$ 0,00"
20GK,33903026,"R$ 0,00","R$ 0,00"
20RK,33903026,"R$ 0,00","R$ 0,00"
20RK,33903026,"R$ 0,00","R$ 0,00"
20RK,33903026,"R$ 0,00","R$ 226,80"
20RK,33903026,"R$ 82.919,96","R$ 0,00"
20RK,33903028,"R$ 6.704,35","R$ 0,00"
20RK,33903029,"R$ 0,00","R$ 0,00"
20RK,33903030,"R$ 1.401,82","R$ 0,00"
20GK,33903035,"R$ 0,00","R$ 0,00"
20RK,33903035,"R$ 0,00","R$ 0,00"
20RK,33903035,"R$ 0,00","R$ 8.631,98"
20RK,33903035,"R$ 56.629,34","R$ 0,00"
20RK,33903036,"R$ 3.497,00","R$ 0,00"
20RK,33903039,"R$ 22.440,69","R$ 0,00"
20RK,33903040,"R$ 1.974,47","R$ 0,00"
20RK,33903042,"R$ 3.647,53","R$ 0,00"
4572,33903044,"R$ 0,00","R$ 0,00"
20RK,33903044,"R$ 0,00","R$ 0,00"
20RK,33903050,"R$ 0,00","R$ 0,00"
20RK,33903096,"R$ 0,00","R$ 0,00"
4086,33903098,"R$ 0,00","R$ 0,00"
4572,33903301,"R$ 0,00","R$ 0,00"
20RK,33903301,"R$ 0,00","R$ 0,00"
20RK,33903301,"R$ 0,00","R$ 484,87"
20RK,33903301,"R$ 0,00","R$ 35.824,41"
20RK,33903301,"R$ 0,00","R$ 498,31"
20RK,33903301,"R$ 396.481,75","R$ 0,00"
20RK,33903302,"R$ 0,00","R$ 12.376,32"
20RK,33903302,"R$ 16.133,62","R$ 1.582,10"
20RK,33903302,"R$ 22.087,42","R$ 0,00"
20RK,33903310,"R$ 0,00","R$ 0,00"
20RK,33903501,"R$ 0,00","R$ 24.635,22"
20RK,33903501,"R$ 28.651,03","R$ 0,00"
8282,33903504,"R$ 0,00","R$ 0,00"
20RK,33903602,"R$ 49.183,30","R$ 0,00"
4572,33903628,"R$ 0,00","R$ 0,00"
4572,33903628,"R$ 35.817,81","R$ 0,00"
4572,33903628,"R$ 0,00","R$ 0,00"
20GK,33903628,"R$ 1.175,76","R$ 0,00"
20RK,33903628,"R$ 0,00","R$ 0,00"
20RK,33903628,"R$ 0,00","R$ 0,00"
20RK,33903628,"R$ 0,00","R$ 0,00"
20RK,33903628,"R$ 0,00","R$ 0,00"
20RK,33903628,"R$ 0,00","R$ 0,00"
20RK,33903628,"R$ 0,00","R$ 0,00"
20RK,33903628,"R$ 42.148,28","R$ 0,00"
20RK,33903628,"R$ 8.377,76","R$ 0,00"
20RK,33903628,"R$ 9.116,69","R$ 0,00"
20RK,33903628,"R$ 1.683,59","R$ 0,00"
20RK,33903628,"R$ 84.965,44","R$ 0,00"
20RK,33903628,"R$ 8.231,20","R$ 0,00"
4002,33903701,"R$ 515.728,88","R$ 0,00"
6328,33903701,"R$ 0,00","R$ 0,00"
8282,33903701,"R$ 0,00","R$ 0,00"
20GK,33903701,"R$ 0,00","R$ 0,00"
20RK,33903701,"R$ 0,00","R$ 0,00"
20RK,33903701,"R$ 0,00","R$ 0,00"
20RK,33903701,"R$ 0,00","R$ 1.156.532,36"
20RK,33903701,"R$ 3.000.000,00","R$ 0,00"
20RK,33903701,"R$ 5.117.059,75","R$ 0,00"
4002,33903702,"R$ 200.655,98","R$ 0,00"
20GK,33903702,"R$ 0,00","R$ 0,00"
20RK,33903702,"R$ 0,00","R$ 796.455,41"
20RK,33903702,"R$ 1.800.000,00","R$ 0,00"
20RK,33903702,"R$ 3.225.046,92","R$ 0,00"
20RK,33903703,"R$ 0,00","R$ 0,00"
20RK,33903703,"R$ 0,00","R$ 0,00"
20RK,33903703,"R$ 0,00","R$ 1.032.964,71"
20RK,33903703,"R$ 0,00","R$ 0,00"
20RK,33903703,"R$ 3.040.000,00","R$ 0,00"
20RK,33903703,"R$ 6.056.673,42","R$ 0,00"
8282,33903798,"R$ 0,00","R$ 50.431,64"
8282,33903901,"R$ 23.276,63","R$ 0,00"
20GK,33903901,"R$ 0,00","R$ 0,00"
20RK,33903901,"R$ 2.500,00","R$ 0,00"
20RK,33903901,"R$ 0,00","R$ 6.513,04"
20RK,33903901,"R$ 96.673,53","R$ 0,00"
20RK,33903901,"R$ 4.909,09","R$ 0,00"
20GK,33903902,"R$ 0,00","R$ 122,29"
20RK,33903902,"R$ 0,00","R$ 0,00"
20RK,33903902,"R$ 0,00","R$ 83.948,32"
20RK,33903902,"R$ 333.171,13","R$ 0,00"
20RK,33903903,"R$ 0,00","R$ 36,24"
20RK,33903903,"R$ 73.204,29","R$ 0,00"
20RK,33903905,"R$ 0,00","R$ 6.100,00"
20RK,33903905,"R$ 34.517,48","R$ 0,00"
20RK,33903912,"R$ 36.350,00","R$ 0,00"
20RK,33903912,"R$ 0,00","R$ 38.350,00"
20RK,33903912,"R$ 147.300,00","R$ 0,00"
20RK,33903912,"R$ 18.175,00","R$ 0,00"
20RK,33903914,"R$ 1.490,25","R$ 0,00"
20RK,33903914,"R$ 0,00","R$ 1.159,68"
20RK,33903914,"R$ 35.553,05","R$ 0,00"
20RK,33903914,"R$ 0,00","R$ 0,00"
4002,33903916,"R$ 0,00","R$ 25.588,70"
4002,33903916,"R$ 0,00","R$ 0,00"
4002,33903916,"R$ 0,00","R$ 0,00"
4002,33903916,"R$ 228.900,00","R$ 0,00"
4002,33903916,"R$ 0,00","R$ 0,00"
4572,33903916,"R$ 214.887,68","R$ 0,00"
8282,33903916,"R$ 539.509,53","R$ 0,00"
20RK,33903916,"R$ 0,00","R$ 31.192,40"
20RK,33903916,"R$ 0,00","R$ 0,00"
20RK,33903916,"R$ 0,00","R$ 619.042,28"
20RK,33903916,"R$ 2.457.488,68","R$ 0,00"
20RK,33903916,"R$ 300.000,00","R$ 0,00"
8282,33903917,"R$ 0,00","R$ 0,00"
20RK,33903917,"R$ 0,00","R$ 26.764,20"
20RK,33903917,"R$ 25.875,10","R$ 0,00"
20GK,33903919,"R$ 0,00","R$ 2.749,40"
20RK,33903919,"R$ 0,00","R$ 0,00"
20RK,33903919,"R$ 51.058,00","R$ 0,00"
20RK,33903919,"R$ 35.318,21","R$ 0,00"
20RK,33903920,"R$ 2.920,00","R$ 0,00"
20RK,33903920,"R$ 0,00","R$ 736,00"
20GK,33903922,"R$ 0,00","R$ 0,00"
20RK,33903922,"R$ 0,00","R$ 500.000,00"
20RK,33903925,"R$ 31.038,11","R$ 0,00"
20RK,33903927,"R$ 0,00","R$ 27.000,00"
20RK,33903936,"R$ 0,00","R$ 0,00"
4002,33903941,"R$ 0,00","R$ 0,00"
4002,33903941,"R$ 624.788,27","R$ 50.000,00"
4002,33903941,"R$ 0,00","R$ 0,00"
4572,33903941,"R$ 0,00","R$ 0,00"
4002,33903943,"R$ 0,00","R$ 5.550,11"
4572,33903943,"R$ 0,00","R$ 0,00"
4572,33903943,"R$ 0,00","R$ 54.726,71"
20GK,33903943,"R$ 0,00","R$ 14.580,00"
20GK,33903943,"R$ 0,00","R$ 30.400,00"
20GK,33903943,"R$ 0,00","R$ 0,00"
20GK,33903943,"R$ 0,00","R$ 0,00"
20GK,33903943,"R$ 0,00","R$ 0,00"
20RK,33903943,"R$ 0,00","R$ 363.247,56"
20RK,33903943,"R$ 0,00","R$ 0,00"
20RK,33903943,"R$ 0,00","R$ 109.983,83"
20RK,33903943,"R$ 2.797.958,76","R$ 0,00"
20RK,33903943,"R$ 141.119,61","R$ 0,00"
20GK,33903944,"R$ 0,00","R$ 0,00"
20RK,33903944,"R$ 117.925,43","R$ 0,00"
20RK,33903944,"R$ 0,00","R$ 130.000,00"
20RK,33903944,"R$ 484.728,95","R$ 0,00"
20RK,33903945,"R$ 0,00","R$ 7.110,77"
20RK,33903945,"R$ 60.135,58","R$ 0,00"
20RK,33903947,"R$ 0,00","R$ 3.000,00"
20RK,33903947,"R$ 34.562,45","R$ 0,00"
4572,33903948,"R$ 29.645,00","R$ 0,00"
