Codigo,SubElemento,Pago,RP_Pago
20TP,31909211,"0,00","R$ 10.646,18"
20TP,31909213,"0,00","R$ 0,00"
20TP,31909294,"3.456,92","R$ 0,00"
20TP,31909296,"7.552,67","R$ 0,00"
20TP,31909296,"0,00","R$ 0,00"
20TP,31909601,"0,00","R$ 0,00"
20TP,31909602,"75.526,70","R$ 0,00"
20TP,31909602,"0,00","R$ 7.552,67"
20TP,31911302,"794.877,40","R$ 0,00"
09HB,31911303,"45.620.885,41","R$ 0,00"
09HB,31911303,"697.918,08","R$ 0,00"
09HB,31919213,"7.758,59","R$ 0,00"
0536,33905901,"0,00","R$ 998,00"
0536,33905901,"11.489,00","R$ 0,00"
2004,33909293,"1.282,97","R$ 0,00"
2004,33909308,"1.045.503,00","R$ 0,00"
2004,33909308,"362.988,00","R$ 0,00"
2004,33909308,"0,00","R$ 130.242,70"
2004,33909601,"0,00","R$ 0,00"
212B,33900421,"100.358,12","R$ 0,00"
212B,33900421,"24.836,08","R$ 0,00"
212B,33900421,"0,00","R$ 18.444,90"
212B,33900422,"3.627,30","R$ 0,00"
212B,33900422,"898,80","R$ 0,00"
212B,33900422,"0,00","R$ 288,90"
212B,33900423,"10.288,37","R$ 0,00"
212B,33900423,"0,00","R$ 2.433,31"
212B,33900801,"11.800,12","R$ 0,00"
212B,33900801,"0,00","R$ 0,00"
212B,33900801,"0,00","R$ 0,00"
212B,33900803,"84.922,15","R$ 0,00"
212B,33900803,"49.316,00","R$ 0,00"
212B,33900803,"53.544,00","R$ 0,00"
212B,33900805,"0,00","R$ 0,00"
212B,33900805,"7.000,00","R$ 0,00"
212B,33900805,"4.207,25","R$ 0,00"
212B,33900805,"0,00","R$ 1.977,75"
212B,33900809,"388.918,70","R$ 0,00"
212B,33900809,"6.344,00","R$ 0,00"
212B,33900809,"139.715,90","R$ 0,00"
212B,33900809,"0,00","R$ 51.376,05"
212B,33904601,"5.141.847,88","R$ 0,00"
212B,33904601,"1.926.772,23","R$ 0,00"
212B,33904601,"0,00","R$ 645.104,14"
212B,33904901,"673.900,44","R$ 0,00"
212B,33904901,"0,00","R$ 237.728,07"
212B,33909208,"659,25","R$ 0,00"
212B,33909249,"500,83","R$ 0,00"
00PW,33504108,"0,00","R$ 279,09"
00PW,33504108,"24.637,77","R$ 0,00"
00PW,33504108,"0,00","R$ 0,00"
00PW,33504108,"2.245,00","R$ 0,00"
00PW,33504108,"9.801,23","R$ 0,00"
00PW,33504108,"0,00","R$ 2.000,00"
00PW,33504108,"1.500,00","R$ 1.500,00"
00PW,33504108,"4.893,00","R$ 4.448,00"
00PW,33504108,"940,80","R$ 893,76"
00PW,33504108,"650,00","R$ 0,00"
00PW,33504108,"500,00","R$ 0,00"
00PW,33504108,"1.300,00","R$ 0,00"
00PW,33504108,"0,00","R$ 0,00"
00PW,33504108,"1.808,00","R$ 0,00"
00PW,33504108,"0,00","R$ 0,00"
00PW,33504108,"0,00","R$ 103,97"
00PW,33504108,"0,00","R$ 0,00"
00PW,33504108,"0,00","R$ 0,00"
00PW,33504108,"1.192,00","R$ 0,00"
00PW,33504108,"1.500,00","R$ 0,00"
00OQ,33804101,"8.588,00","R$ 0,00"
00OQ,33804101,"1.970,40","R$ 0,00"
00OQ,33804101,"0,00","R$ 0,00"
20RK,33901414,"3.402,43","R$ 0,00"
20RK,33901416,"0,00","R$ 0,00"
20GK,33901801,"2.910.385,00","R$ 0,00"
20GK,33901801,"1.576.015,00","R$ 0,00"
20RK,33901801,"31.200,00","R$ 0,00"
20RK,33901801,"452.264,66","R$ 0,00"
20RK,33901801,"6.000,00","R$ 0,00"
4002,33901801,"101.842,00","R$ 0,00"
4002,33901801,"2.680.772,00","R$ 0,00"
4002,33901801,"1.363.734,00","R$ 0,00"
4002,33901801,"469.836,51","R$ 0,00"
4002,33901801,"1.389.110,00","R$ 0,00"
20RK,33901804,"0,00","R$ 0,00"
20GK,33902001,"0,00","R$ 80.400,00"
20RK,33902001,"0,00","R$ 0,00"
20RK,33902001,"33.872,25","R$ 0,00"
20RK,33902001,"0,00","R$ 0,00"
20RK,33902002,"32.500,00","R$ 0,00"
20RK,33903001,"0,00","R$ 16.331,33"
20RK,33903001,"29.673,66","R$ 0,00"
20RK,33903004,"0,00","R$ 1.394,50"
20RK,33903007,"0,00","R$ 7.692,23"
20RK,33903007,"0,00","R$ 0,00"
20RK,33903007,"1.907,85","R$ 0,00"
20RK,33903011,"0,00","R$ 44.110,99"
20RK,33903016,"0,00","R$ 0,00"
20RK,33903016,"0,00","R$ 12.356,00"
20RK,33903016,"1.337,85","R$ 0,00"
20RK,33903017,"0,00","R$ 0,00"
20RK,33903017,"439,00","R$ 0,00"
20RK,33903019,"0,00","R$ 5.338,82"
20RK,33903021,"158,04","R$ 0,00"
20RK,33903022,"0,00","R$ 137,00"
20RK,33903022,"0,00","R$ 454,00"
20RK,33903022,"230.762,29","R$ 0,00"
20RK,33903024,"0,00","R$ 2.175,00"
20RK,33903024,"0,00","R$ 5.121,68"
20RK,33903024,"0,00","R$ 0,00"
20RK,33903025,"0,00","R$ 0,00"
8282,33903025,"0,00","R$ 0,00"
20RK,33903026,"0,00","R$ 3.129,95"
20RK,33903026,"14.330,60","R$ 0,00"
20RK,33903026,"0,00","R$ 0,00"
20RK,33903028,"0,00","R$ 0,00"
20RK,33903028,"0,00","R$ 1.241,23"
20RK,33903028,"0,00","R$ 0,00"
20RK,33903035,"0,00","R$ 7.027,85"
20RK,33903035,"0,00","R$ 0,00"
20RK,33903036,"0,00","R$ 0,00"
20RK,33903039,"2.580,00","R$ 0,00"
20RK,33903044,"0,00","R$ 0,00"
20RK,33903044,"0,00","R$ 300,00"
4086,33903098,"0,00","R$ 0,00"
20RK,33903301,"0,00","R$ 0,00"
20RK,33903301,"0,00","R$ 29.356,11"
20RK,33903302,"0,00","R$ 2.248,48"
20RK,33903309,"0,00","R$ 0,00"
20RK,33903310,"0,00","R$ 0,00"
20RK,33903501,"0,00","R$ 8.675,00"
8282,33903501,"4.337,50","R$ 0,00"
20RK,33903602,"30.000,00","R$ 0,00"
20RK,33903602,"27.794,24","R$ 0,00"
20GK,33903628,"0,00","R$ 0,00"
20RK,33903628,"0,00","R$ 2.945,34"
20RK,33903628,"0,00","R$ 75.849,25"
20RK,33903628,"0,00","R$ 5.532,58"
20RK,33903628,"0,00","R$ 0,00"
20RK,33903628,"33.923,63","R$ 0,00"
20RK,33903628,"1.720,11","R$ 0,00"
20RK,33903628,"0,00","R$ 0,00"
4572,33903628,"0,00","R$ 0,00"
4572,33903628,"0,00","R$ 0,00"
4572,33903628,"0,00","R$ 29.717,10"
8282,33903628,"1.761,08","R$ 0,00"
20RK,33903701,"0,00","R$ 175.000,00"
20RK,33903701,"889.525,79","R$ 0,00"
20RK,33903701,"2.610.788,49","R$ 0,00"
8282,33903701,"0,00","R$ 0,00"
8282,33903701,"5.247.628,96","R$ 0,00"
8282,33903701,"0,00","R$ 0,00"
20GK,33903702,"0,00","R$ 123.826,58"
20GK,33903702,"0,00","R$ 0,00"
20RK,33903702,"0,00","R$ 175.000,00"
20RK,33903702,"211.275,61","R$ 0,00"
20RK,33903702,"626.651,36","R$ 0,00"
4002,33903702,"0,00","R$ 0,00"
4002,33903702,"0,00","R$ 28.256,57"
8282,33903702,"0,00","R$ 0,00"
8282,33903702,"1.096.829,70","R$ 0,00"
20RK,33903703,"3.198.915,56","R$ 0,00"
20RK,33903703,"0,00","R$ 0,00"
8282,33903703,"0,00","R$ 15.570,40"
8282,33903703,"5.598.102,23","R$ 0,00"
20RK,33903901,"0,00","R$ 32.217,04"
20RK,33903901,"293.208,98","R$ 0,00"
20RK,33903902,"0,00","R$ 38.216,16"
20RK,33903902,"395.187,59","R$ 0,00"
20RK,33903902,"0,00","R$ 0,00"
20RK,33903903,"0,00","R$ 0,00"
20RK,33903903,"0,00","R$ 0,00"
20RK,33903905,"3.135,00","R$ 0,00"
20RK,33903905,"0,00","R$ 0,00"
20RK,33903912,"0,00","R$ 18.175,00"
20RK,33903912,"582,00","R$ 0,00"
20GK,33903914,"0,00","R$ 0,00"
20RK,33903914,"0,00","R$ 5.400,00"
20RK,33903914,"0,00","R$ 0,00"
20RK,33903914,"15.845,00","R$ 0,00"
20GK,33903916,"0,00","R$ 100.000,00"
20RK,33903916,"0,00","R$ 391.392,78"
20RK,33903916,"2.440.857,68","R$ 0,00"
20RK,33903916,"890.269,80","R$ 0,00"
4002,33903916,"0,00","R$ 0,00"
4572,33903916,"0,00","R$ 192.864,52"
8282,33903916,"0,00","R$ 14.603,18"
8282,33903916,"296.756,60","R$ 0,00"
8282,33903916,"0,00","R$ 0,00"
20RK,33903917,"0,00","R$ 565,67"
20RK,33903917,"255.439,10","R$ 0,00"
20RK,33903917,"27.949,90","R$ 0,00"
20RK,33903919,"0,00","R$ 0,00"
20RK,33903919,"0,00","R$ 0,00"
8282,33903919,"0,00","R$ 0,00"
20RK,33903920,"0,00","R$ 0,00"
20RK,33903925,"0,00","R$ 0,00"
4002,33903941,"42.410,50","R$ 0,00"
4572,33903941,"0,00","R$ 74.923,20"
20GK,33903943,"0,00","R$ 614.904,19"
20GK,33903943,"0,00","R$ 0,00"
20RK,33903943,"0,00","R$ 58,30"
20RK,33903943,"0,00","R$ 0,00"
20RK,33903943,"1.630.436,99","R$ 0,00"
20RK,33903943,"0,00","R$ 0,00"
20RK,33903943,"638.248,69","R$ 0,00"
8282,33903943,"0,00","R$ 0,01"
8282,33903943,"103.677,23","R$ 0,00"
8282,33903943,"283.600,54","R$ 0,00"
20GK,33903944,"0,00","R$ 67.653,42"
20RK,33903944,"0,00","R$ 109.511,26"
20RK,33903944,"555.067,21","R$ 0,00"
8282,33903944,"81.092,26","R$ 0,00"
20RK,33903945,"0,00","R$ 7.979,34"
20RK,33903945,"18.391,13","R$ 0,00"
20RK,33903947,"0,00","R$ 22.642,82"
20RK,33903947,"15.925,14","R$ 0,00"
8282,33903947,"0,00","R$ 0,00"
20RK,33903948,"0,00","R$ 2.400,00"
4572,33903948,"4.385,00","R$ 0,00"
4572,33903948,"400,00","R$ 0,00"
4572,33903948,"0,00","R$ 12.005,00"
20RK,33903950,"0,00","R$ 0,00"
20RK,33903951,"0,00","R$ 0,00"
20RK,33903958,"0,00","R$ 120.873,06"
20RK,33903958,"583.234,39","R$ 0,00"
20RK,33903958,"5.840,24","R$ 0,00"
4002,33903958,"0,00","R$ 0,91"
4002,33903958,"0,00","R$ 18.134,00"
4572,33903958,"0,00","R$ 12.708,80"
20RK,33903963,"0,00","R$ 41.194,72"
20RK,33903963,"0,00","R$ 113.500,28"
20RK,33903963,"54.170,00","R$ 0,00"
8282,33903963,"0,00","R$ 0,00"
20GK,33903965,"0,00","R$ 9.831.090,00"
20GK,33903965,"0,00","R$ 15.975.387,00"
20GK,33903965,"5.000.000,00","R$ 0,00"
20RK,33903965,"0,00","R$ 0,00"
20RK,33903965,"0,00","R$ 0,00"
20RK,33903969,"0,00","R$ 668,00"
20RK,33903969,"0,00","R$ 0,00"
20RK,33903969,"21.893,26","R$ 0,00"
8282,33903969,"0,00","R$ 1.410,80"
20RK,33903974,"0,00","R$ 7.600,00"
20RK,33903975,"0,00","R$ 328,87"
20RK,33903978,"0,00","R$ 18.885,89"
20RK,33903978,"22.411,89","R$ 0,00"
8282,33903978,"7.130,76","R$ 0,00"
20RK,33903979,"235.549,47","R$ 0,00"
20RK,33903979,"89.026,98","R$ 0,00"
8282,33903979,"29.675,66","R$ 0,00"
20RK,33904007,"0,00","R$ 59.000,00"
20RK,33904007,"0,00","R$ 0,00"
20RK,33904011,"0,00","R$ 10.548,84"
20RK,33904011,"0,00","R$ 27.697,25"
20RK,33904011,"308.064,42","R$ 0,00"
20RK,33904012,"7.260,00","R$ 0,00"
20RK,33904013,"0,00","R$ 0,00"
20RK,33904013,"73.964,55","R$ 0,00"
20RK,33904014,"30.439,80","R$ 0,00"
20RK,33904016,"31.516,81","R$ 0,00"
8282,33904016,"0,00","R$ 43.752,46"
20RK,33904020,"0,00","R$ 0,00"
20RK,33904023,"0,00","R$ 0,00"
4572,33904023,"0,00","R$ 0,00"
8282,33904023,"0,00","R$ 335,00"
20RK,33904702,"4.856,46","R$ 0,00"
20RK,33904710,"0,00","R$ 0,00"
20RK,33904710,"0,00","R$ 0,00"
20RK,33904722,"0,00","R$ 15.407,06"
20RK,33904722,"49.433,07","R$ 0,00"
20RK,33909233,"5.130,14","R$ 0,00"
20RK,33909236,"0,00","R$ 0,00"
20RK,33909236,"13.271,33","R$ 0,00"
20RK,33909236,"0,00","R$ 0,00"
4572,33909236,"32.834,43","R$ 0,00"
8282,33909236,"258.582,41","R$ 0,00"
20RK,33909237,"1.476.850,70","R$ 0,00"
8282,33909237,"1.935.591,07","R$ 0,00"
20RK,33909239,"0,00","R$ 0,00"
20RK,33909239,"129.819,81","R$ 0,00"
4002,33909239,"28.330,50","R$ 0,00"
8282,33909239,"123.578,96","R$ 0,00"
20RK,33909240,"46.459,90","R$ 0,00"
20RK,33909247,"0,00","R$ 0,00"
20RK,33909303,"5.867,05","R$ 0,00"
216H,33909303,"12.240,63","R$ 0,00"
4572,33909311,"141.479,33","R$ 0,00"
4572,33909311,"120.501,29","R$ 0,00"
4572,33909311,"0,00","R$ 42.089,59"
4572,33909311,"0,00","R$ 25.228,60"
20RK,33914011,"71.514,68","R$ 0,00"
8282,33914011,"2.796,04","R$ 0,00"
20RK,33914710,"0,00","R$ 2.533,45"
20RK,33914710,"844,50","R$ 0,00"
20GK,33914712,"0,00","R$ 0,00"
20RK,33914712,"0,00","R$ 0,00"
20RK,33914718,"0,00","R$ 0,00"
20RK,33914718,"11.405,27","R$ 0,00"
20RK,44905191,"0,00","R$ 0,00"
20RK,44905191,"0,00","R$ 0,00"
20RK,44905191,"0,00","R$ 0,00"
20RK,44905191,"0,00","R$ 0,00"
8282,44905191,"0,00","R$ 0,00"
20RK,44905192,"0,00","R$ 15.625,00"
20RK,44905192,"48,80","R$ 0,00"
8282,44905192,"0,00","R$ 0,00"
20RK,44905208,"0,00","R$ 26.520,42"
20RK,44905208,"41.033,42","R$ 0,00"
20RK,44905212,"2.989,00","R$ 0,00"
20RK,44905230,"0,00","R$ 0,00"
20RK,44905233,"0,00","R$ 7.077,00"
20RK,44905233,"345,20","R$ 0,00"
20RK,44905233,"0,00","R$ 0,00"
20RK,44905234,"0,00","R$ 92.250,00"
20RK,44905234,"0,00","R$ 0,00"
20GK,44905235,"0,00","R$ 0,00"
20RK,44905235,"0,00","R$ 358.172,00"
20RK,44905235,"742,98","R$ 0,00"
20RK,44905235,"0,00","R$ 0,00"
20RK,44905235,"0,00","R$ 0,00"
20RK,44905237,"0,00","R$ 464.480,00"
20RK,44905238,"0,00","R$ 0,00"
20RK,44905239,"0,00","R$ 37.290,40"
20GK,44905242,"0,00","R$ 700.000,00"
20RK,44905242,"0,00","R$ 4.905,60"
20RK,44905242,"0,00","R$ 0,00"
20RK,44905242,"8.117,00","R$ 0,00"
20RK,44905243,"0,00","R$ 869.900,00"
20RK,44905251,"0,00","R$ 0,00"
4086,44905298,"0,00","R$ 0,00"
6368,44905298,"0,00","R$ 0,00"
20RK,44905299,"9.850,00","R$ 0,00"
20RK,44913981,"142,00","R$ 0,00"
