Codigo,SubElemento,Pago,RP_Pago
0181,31900101,"7.400.954,81","R$ 0,00"
0181,31900101,"14.961.641,12","R$ 0,00"
0181,31900101,"36.857.879,42","R$ 0,00"
0181,31900101,"8.618.375,10","R$ 0,00"
0181,31900101,"0,00","R$ 4.448.807,64"
0181,31900101,"0,00","R$ 1.711.666,47"
0181,31900106,"3.557.653,19","R$ 0,00"
0181,31900106,"3.546.184,29","R$ 0,00"
0181,31900106,"0,00","R$ 24.011,49"
0181,31900109,"7.072.913,09","R$ 0,00"
0181,31900109,"1.542.155,91","R$ 0,00"
0181,31900109,"0,00","R$ 796.477,26"
0181,31900116,"901.532,07","R$ 0,00"
0181,31900116,"200.340,46","R$ 0,00"
0181,31900116,"0,00","R$ 97.439,86"
0181,31900134,"619.324,91","R$ 0,00"
0181,31900134,"150.077,48","R$ 0,00"
0181,31900134,"0,00","R$ 69.230,39"
0181,31900187,"168.513,24","R$ 0,00"
0181,31900187,"37.003,52","R$ 0,00"
0181,31900187,"0,00","R$ 19.166,75"
0181,31900301,"13.063.893,16","R$ 0,00"
0181,31900301,"1.331.213,51","R$ 0,00"
0181,31900301,"0,00","R$ 1.249.731,69"
0181,31900303,"651.642,59","R$ 0,00"
0181,31900303,"662.586,25","R$ 0,00"
0181,31900386,"91.636,60","R$ 0,00"
0181,31900386,"9.009,13","R$ 0,00"
0181,31900386,"0,00","R$ 10.554,43"
20TP,31900401,"2.716.689,28","R$ 0,00"
20TP,31900401,"0,00","R$ 370.667,04"
20TP,31900412,"456.925,85","R$ 0,00"
20TP,31900412,"0,00","R$ 8.331,92"
20TP,31900413,"246.496,73","R$ 0,00"
20TP,31900413,"0,00","R$ 1.765,76"
20TP,31900414,"153.743,47","R$ 0,00"
20TP,31900414,"0,00","R$ 11.384,45"
20TP,31900417,"9.542,57","R$ 0,00"
20TP,31900706,"675.796,38","R$ 0,00"
20TP,31900706,"0,00","R$ 56.440,33"
20TP,31901101,"94.385.342,37","R$ 0,00"
20TP,31901101,"0,00","R$ 2.113.740,18"
20TP,31901104,"18.831,68","R$ 0,00"
20TP,31901104,"0,00","R$ 2.274,24"
20TP,31901105,"210.430,76","R$ 0,00"
20TP,31901105,"0,00","R$ 19.307,64"
20TP,31901106,"259.605,63","R$ 0,00"
20TP,31901106,"0,00","R$ 15.825,42"
20TP,31901107,"4.049.864,26","R$ 0,00"
20TP,31901107,"0,00","R$ 395.546,71"
20TP,31901110,"2.327,13","R$ 0,00"
20TP,31901110,"0,00","R$ 406,56"
20TP,31901131,"71.537.272,35","R$ 0,00"
20TP,31901131,"0,00","R$ 6.477.846,56"
20TP,31901133,"1.273.205,48","R$ 0,00"
20TP,31901133,"0,00","R$ 117.431,25"
20TP,31901136,"3.594.259,41","R$ 0,00"
20TP,31901136,"0,00","R$ 328.509,77"
20TP,31901137,"2.730.760,12","R$ 0,00"
20TP,31901137,"0,00","R$ 256.149,67"
20TP,31901142,"150.136,62","R$ 0,00"
20TP,31901142,"0,00","R$ 15.635,07"
20TP,31901143,"13.851.097,00","R$ 0,00"
20TP,31901143,"0,00","R$ 1.646.497,94"
20TP,31901145,"3.201.314,19","R$ 0,00"
20TP,31901145,"0,00","R$ 2.901.614,45"
20TP,31901146,"152.307,21","R$ 0,00"
20TP,31901146,"0,00","R$ 300.663,84"
20TP,31901632,"190.399,02","R$ 0,00"
20TP,31901632,"0,00","R$ 17.717,15"
20TP,31901636,"382.498,20","R$ 0,00"
20TP,31901636,"0,00","R$ 33.707,64"
20TP,31901644,"0,00","R$ 0,00"
0005,31909101,"270.628,54","R$ 0,00"
20TP,31909114,"1.242.356,32","R$ 0,00"
20TP,31909114,"0,00","R$ 147.270,94"
0181,31909115,"1.209,15","R$ 0,00"
0181,31909115,"268,70","R$ 0,00"
0181,31909115,"0,00","R$ 134,35"
0181,31909116,"106.763,00","R$ 0,00"
0181,31909116,"10.676,30","R$ 0,00"
0181,31909116,"0,00","R$ 10.676,30"
0005,31909123,"482.468,86","R$ 0,00"
0005,31909136,"82.734,52","R$ 0,00"
0005,31909197,"0,00","R$ 0,00"
0181,31909201,"60.398,52","R$ 0,00"
0181,31909203,"814,53","R$ 0,00"
0181,31909203,"16.729,01","R$ 0,00"
20TP,31909211,"139.660,77","R$ 0,00"
